MLS #,Cat,Status,Address,City,County,Building Units Total,Sub Type,Status Contractual Search Date,List Office Name,Current Price
PAPH2153274,MUL,ACT,1144 W Huntingdon St,Philadelphia,"Philadelphia, PA",3,Other,8/25/2022,Douglas Realty (DOGR6),"$250,000 "
PAPH2152824,MUL,ACT,2112 N Darien St,Philadelphia,"Philadelphia, PA",1,Other,8/23/2022,RE/MAX Action Realty-Horsham (RMACTRE),"$94,900 "
PAPH2152972,MUL,ACT,736-38 S 8th St,Philadelphia,"Philadelphia, PA",4,Other,8/21/2022,"Compass Pennsylvania, LLC (COMPASS12)","$2,700,000 "
PAPH2152958,MUL,ACT,763-65 S 8th St,Philadelphia,"Philadelphia, PA",4,Other,8/21/2022,"Compass Pennsylvania, LLC (COMPASS12)","$3,345,000 "
PAPH2152828,MUL,ACT,1327 Snyder Ave,Philadelphia,"Philadelphia, PA",4,Other,8/20/2022,"Compass Pennsylvania, LLC (COMPASS12)","$975,000 "
PAPH2152806,MUL,ACT,423 N 40th St,Philadelphia,"Philadelphia, PA",4,Other,8/23/2022,Keller Williams Philly (55962),"$1,450,000 "
PABU2034480,MUL,ACT,17 W Mechanic St,New Hope,"Bucks, PA",4,Other,8/22/2022,Compass (COMPASS4),"$1,399,999 "
PAPH2152114,MUL,ACT,5128 Spruce St,Philadelphia,"Philadelphia, PA",4,Quadruplex,8/22/2022,Coldwell Banker Realty (CBPREOC),"$1,150,000 "
PAMC2049478,MUL,ACT,520 Haws Ave,Norristown,"Montgomery, PA",4,Quadruplex,8/21/2022,RE/MAX Services (RMSERVS),"$375,000 "
PAPH2151636,MUL,ACT,747 S 22nd St,Philadelphia,"Philadelphia, PA",4,Quadruplex,8/19/2022,Compass RE (COMPASS2),"$749,900 "
PAPH2151278,MUL,ACT,3029-31 Cedar St,Philadelphia,"Philadelphia, PA",4,Other,8/18/2022,Keller Williams Main Line (KELWLMML),"$575,000 "
